"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (UTC)","Year","Month","Day","Time (UTC)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-123.30","49.11","SANDHEADS CS","1107010","2022-01-01 00:00","2022","01","01","00:00","","-1.4","","-11.6","","46","","","","12","","14","","","","","","","","-6","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-01-01 01:00","2022","01","01","01:00","","-1.5","","-12.1","","44","","","","11","","15","","","","","","","","-6","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-01-01 02:00","2022","01","01","02:00","","-1.4","","-12.7","","42","","","","14","","9","","","","","","","","-5","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-01-01 03:00","2022","01","01","03:00","","-1.3","","-11.4","","46","","","","15","","8","","","","","","","","-4","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-01-01 04:00","2022","01","01","04:00","","-1.1","","-10.5","","49","","","","13","","5","","","","","","","","-3","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-01-01 05:00","2022","01","01","05:00","","-2.1","","-8.7","","61","","","","8","","18","","","","","","","","-8","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-01-01 06:00","2022","01","01","06:00","","-3.5","","-9.5","","63","","","","10","","19","","","","","","","","-9","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-01-01 07:00","2022","01","01","07:00","","-4.3","","-10.1","","64","","","","10","","24","","","","","","","","-11","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-01-01 08:00","2022","01","01","08:00","","-4.8","","-11.2","","61","","","","10","","26","","","","","","","","-12","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-01-01 09:00","2022","01","01","09:00","","-4.5","","-9.5","","68","","","","10","","25","","","","","","","","-12","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-01-01 10:00","2022","01","01","10:00","","-4.1","","-10.1","","63","","","","10","","28","","","","","","","","-12","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-01-01 11:00","2022","01","01","11:00","","-4.1","","-9.4","","66","","","","11","","26","","","","","","","","-11","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-01-01 12:00","2022","01","01","12:00","","-3.8","","-9.1","","67","","","","10","","24","","","","","","","","-11","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-01-01 13:00","2022","01","01","13:00","","-3.5","","-9.5","","63","","","","10","","28","","","","","","","","-11","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-01-01 14:00","2022","01","01","14:00","","-3.1","","-9.4","","62","","","","10","","28","","","","","","","","-10","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-01-01 15:00","2022","01","01","15:00","","-2.9","","-9.1","","62","","","","10","","28","","","","","","","","-10","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-01-01 16:00","2022","01","01","16:00","","-2.6","","-7.2","","71","","","","10","","26","","","","","","","","-9","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-01-01 17:00","2022","01","01","17:00","","-2.4","","-7.6","","67","","","","9","","27","","","","","","","","-9","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-01-01 18:00","2022","01","01","18:00","","-2.0","","-7.3","","67","","","","9","","27","","","","","","","","-9","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-01-01 19:00","2022","01","01","19:00","","-1.7","","-6.2","","71","","","","10","","26","","","","","","","","-8","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-01-01 20:00","2022","01","01","20:00","","-1.5","","-6.4","","69","","","","9","","24","","","","","","","","-8","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-01-01 21:00","2022","01","01","21:00","","-0.8","","-6.5","","66","","","","8","","27","","","","","","","","-7","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-01-01 22:00","2022","01","01","22:00","","-0.2","","-6.7","","62","","","","9","","28","","","","","","","","-7","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-01-01 23:00","2022","01","01","23:00","","0.2","","-6.4","","61","","","","9","","29","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-01-02 00:00","2022","01","02","00:00","","0.4","","-6.0","","62","","","","9","","34","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-01-02 01:00","2022","01","02","01:00","","0.9","","-6.0","","60","","","","9","","31","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-01-02 02:00","2022","01","02","02:00","","0.8","","-5.4","","63","","","","10","","35","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-01-02 03:00","2022","01","02","03:00","","0.8","","-4.7","","67","","","","10","","38","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-01-02 04:00","2022","01","02","04:00","","1.0","","-5.0","","64","","","","10","","44","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-01-02 05:00","2022","01","02","05:00","","1.5","","-4.6","","64","","","","11","","41","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-01-02 06:00","2022","01","02","06:00","","3.2","","-2.0","","69","","","","14","","49","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-01-02 07:00","2022","01","02","07:00","","4.0","","-0.7","","71","","","","15","","50","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-01-02 08:00","2022","01","02","08:00","","4.1","","-0.5","","72","","","","14","","58","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-01-02 09:00","2022","01","02","09:00","","4.6","","0.4","","74","","","","15","","47","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-01-02 10:00","2022","01","02","10:00","","4.6","","1.1","","78","","","","13","","29","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-01-02 11:00","2022","01","02","11:00","","3.0","","1.3","","88","","","","5","","32","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-01-02 12:00","2022","01","02","12:00","","2.0","","1.5","","97","","","","7","","38","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-01-02 13:00","2022","01","02","13:00","","2.5","","1.2","","92","","","","8","","39","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-01-02 14:00","2022","01","02","14:00","","3.4","","0.5","","81","","","","9","","42","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-01-02 15:00","2022","01","02","15:00","","5.1","","0.4","","71","","","","12","","40","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-01-02 16:00","2022","01","02","16:00","","5.5","","0.5","","70","","","","14","","51","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-01-02 17:00","2022","01","02","17:00","","5.5","","0.9","","72","","","","13","","48","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-01-02 18:00","2022","01","02","18:00","","5.7","","1.4","","74","","","","14","","40","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-01-02 19:00","2022","01","02","19:00","","6.0","","1.6","","73","","","","14","","44","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-01-02 20:00","2022","01","02","20:00","","5.9","","2.3","","78","","","","15","","45","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-01-02 21:00","2022","01","02","21:00","","6.1","","3.0","","80","","","","12","","27","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-01-02 22:00","2022","01","02","22:00","","5.8","","2.6","","80","","","","15","","59","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-01-02 23:00","2022","01","02","23:00","","5.9","","2.4","","78","","","","15","","71","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-01-03 00:00","2022","01","03","00:00","","5.8","","3.3","","84","","","","16","","65","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-01-03 01:00","2022","01","03","01:00","","5.4","","3.1","","85","","","","16","","60","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-01-03 02:00","2022","01","03","02:00","","5.6","","3.4","","86","","","","15","","58","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-01-03 03:00","2022","01","03","03:00","","5.9","","3.2","","83","","","","15","","58","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-01-03 04:00","2022","01","03","04:00","","6.2","","2.9","","79","","","","16","","53","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-01-03 05:00","2022","01","03","05:00","","6.0","","2.6","","79","","","","16","","54","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-01-03 06:00","2022","01","03","06:00","","5.6","","2.9","","83","","","","16","","56","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-01-03 07:00","2022","01","03","07:00","","5.0","","1.7","","80","","","","16","","63","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-01-03 08:00","2022","01","03","08:00","","4.4","","2.5","","88","","","","15","","54","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-01-03 09:00","2022","01","03","09:00","","5.6","","2.9","","83","","","","17","","57","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-01-03 10:00","2022","01","03","10:00","","4.7","","2.2","","84","","","","16","","62","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-01-03 11:00","2022","01","03","11:00","","4.7","","2.8","","87","","","","16","","50","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-01-03 12:00","2022","01","03","12:00","","4.9","","2.6","","85","","","","16","","48","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-01-03 13:00","2022","01","03","13:00","","5.6","","3.4","","86","","","","17","","41","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-01-03 14:00","2022","01","03","14:00","","5.4","","2.8","","84","","","","16","","32","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-01-03 15:00","2022","01","03","15:00","","4.2","","1.9","","85","","","","17","","35","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-01-03 16:00","2022","01","03","16:00","","4.4","","2.2","","86","","","","15","","27","","","","","","","","","","NA"
